employee_id,name,department,role,hire_date,manager_id,termination_date,status,previous_role,role_changed_on
E0048,Chee Keong Lee,Finance,AP Clerk,2023-03-16,E0196,,Active,,
E0049,Zahra Raj,Finance,AP Clerk,2018-05-03,E0206,2025-04-28,Terminated,,
E0050,Amirul bin Hassan,Finance,AP Clerk,2014-02-22,E0190,,Active,,
E0051,Adrian bin Hassan,Finance,AP Clerk,2025-02-12,E0193,,Active,,
E0052,Wei Ling Pillai,Finance,AP Clerk,2018-04-12,E0190,,Active,,
E0053,Yee Han Pillai,Finance,AP Clerk,2016-10-27,E0201,,Active,,
E0054,Mei Yee Menon,Finance,AP Clerk,2013-12-19,E0203,,Active,,
E0055,Syafiq Chong,Finance,AP Clerk,2016-11-20,E0194,2024-04-13,Terminated,,
E0056,Hafiz Pillai,Finance,AP Clerk,2012-06-11,E0210,2026-04-27,Terminated,,
E0057,Jun Hao Lim,Finance,AP Clerk,2012-11-10,E0207,,Active,,
E0058,Aisyah Lee,Finance,AP Clerk,2020-12-08,E0207,,Active,,
E0059,Ahmad bin Rahman,Finance,AP Clerk,2017-03-07,E0198,,Active,,
E0060,Siew Mun Lim,Finance,AP Clerk,2017-06-13,E0190,,Active,,
E0061,Rachel Lim,Finance,AP Clerk,2023-10-30,E0201,2024-01-30,Terminated,,
E0062,Li Wen Lim,Finance,AP Clerk,2019-10-05,E0202,2026-03-28,Terminated,,
E0063,Jun Hao Lee,Finance,AP Clerk,2017-07-12,E0199,,Active,,
E0064,Kavitha bin Rahman,Finance,AP Clerk,2015-09-26,E0210,,Active,,
E0065,Kavitha bin Abdullah,Finance,AP Clerk,2016-03-02,E0198,,Active,,
E0066,Hafiz bin Rahman,Finance,AP Clerk,2024-06-16,E0194,,Active,,
E0067,Nadia bin Rahman,Finance,AP Clerk,2025-02-14,E0204,2026-02-20,Terminated,,
E0068,Nadia Kumar,Finance,AP Clerk,2021-11-07,E0201,,Active,,
E0069,Daniel Raj,Finance,AP Clerk,2025-02-17,E0207,,Active,,
E0070,Adrian Lim,Finance,AP Clerk,2023-09-18,E0196,,Active,,
E0071,Kai Xin Ng,Finance,AP Supervisor,2021-09-28,E0198,2023-07-15,Terminated,,
E0072,Kai Xin Menon,Finance,AP Supervisor,2019-05-21,E0198,,Active,,
E0073,Siew Mun Nair,Finance,AP Supervisor,2015-03-15,E0193,,Active,,
E0074,Wei Ling Pillai,Finance,AP Supervisor,2016-10-05,E0193,2025-07-17,Terminated,,
E0075,Firdaus Wong,Finance,AP Supervisor,2013-03-19,E0198,2023-08-07,Terminated,,
E0076,Michelle bin Rahman,Finance,AP Supervisor,2019-12-25,E0208,2025-09-18,Terminated,,
E0077,Nurul Ng,Finance,AP Supervisor,2019-05-14,E0202,,Active,,
E0078,Rachel Lee,Finance,AP Supervisor,2026-04-16,E0205,,Active,,
E0079,Amirul bin Abdullah,Finance,AP Supervisor,2024-10-05,E0201,,Active,,
E0080,Izzati Lim,Finance,AP Supervisor,2021-08-10,E0192,2024-07-17,Terminated,,
E0081,Michelle Kumar,Finance,AP Supervisor,2023-03-08,E0209,,Active,,
E0082,Chee Keong Nair,Finance,AP Supervisor,2018-05-04,E0204,2025-01-03,Terminated,,
E0083,Siew Mun Wong,Finance,AP Supervisor,2012-11-05,E0199,,Active,,
E0084,Firdaus Menon,Finance,AP Supervisor,2025-04-21,E0207,,Active,,
E0085,Arun bin Rahman,Finance,AR Clerk,2020-09-01,E0206,,Active,,
E0086,Syafiq Menon,Finance,AR Clerk,2014-01-13,E0199,,Active,,
E0087,Mei Yee Wong,Finance,AR Clerk,2018-12-22,E0198,,Active,,
E0088,Li Wen bin Abdullah,Finance,AR Clerk,2014-01-05,E0191,,Active,,
E0089,Firdaus Chong,Finance,AR Clerk,2019-06-10,E0198,,Active,,
E0090,Chee Keong Menon,Finance,AR Clerk,2014-03-09,E0208,,Active,,
E0091,Siew Mun Ng,Finance,AR Clerk,2018-11-08,E0193,,Active,,
E0092,Zahra Ng,Finance,AR Clerk,2018-12-01,E0210,2024-05-27,Terminated,,
E0093,Amirul Pillai,Finance,AR Clerk,2018-05-13,E0202,,Active,,
E0094,Ahmad Fernandez,Finance,AR Clerk,2019-01-25,E0202,,Active,,
E0095,Hafiz Kumar,Finance,AR Clerk,2019-04-12,E0208,,Active,,
E0096,Zahra Lee,Finance,AR Clerk,2014-05-12,E0190,,Active,,
E0097,Hakim Fernandez,Finance,AR Clerk,2012-06-15,E0206,2023-09-02,Terminated,,
E0098,Amirul Nair,Finance,AR Clerk,2022-12-16,E0204,,Active,,
E0099,Priya Wong,Finance,AR Clerk,2013-01-07,E0191,,Active,,
E0100,Kavitha bin Rahman,Finance,AR Clerk,2017-03-19,E0207,,Active,,
E0101,Suresh Pillai,Finance,Finance Manager,2015-06-18,E0208,,Active,AR Clerk,2025-12-28
E0102,Li Wen Menon,Finance,AR Clerk,2023-12-14,E0198,,Active,,
E0103,Mei Yee bin Abdullah,Finance,AR Clerk,2015-09-05,E0192,,Active,,
E0104,Rachel Wong,Finance,AR Clerk,2015-12-31,E0190,,Active,,
E0105,Suresh bin Hassan,Finance,AR Clerk,2025-09-22,E0199,,Active,,
E0106,Yee Han Raj,Finance,AR Clerk,2024-07-26,E0201,,Active,,
E0107,Siew Mun bin Hassan,Finance,AR Clerk,2012-10-04,E0199,,Active,,
E0108,Hafiz Pillai,Finance,AR Clerk,2025-09-12,E0210,,Active,,
E0109,Priya Nair,Finance,AR Clerk,2023-08-03,E0197,,Active,,
E0110,Mei Yee bin Hassan,Finance,AR Clerk,2017-07-17,E0202,,Active,,
E0111,Jun Hao bin Abdullah,Finance,AR Clerk,2023-07-02,E0203,,Active,,
E0112,Arun bin Abdullah,Finance,AR Clerk,2019-02-23,E0205,,Active,,
E0113,Arun Lim,Finance,AR Clerk,2013-03-14,E0191,,Active,,
E0114,Chee Keong Anak Jelani,Finance,AR Clerk,2015-04-05,E0196,,Active,,
E0115,Nurul binti Yusof,Finance,AR Clerk,2015-10-26,E0204,,Active,,
E0116,Zahra bin Hassan,Finance,AR Clerk,2021-07-25,E0209,,Active,,
E0117,Deepa binti Omar,Finance,AR Clerk,2025-03-04,E0190,,Active,,
E0118,Rachel Lee,Finance,AR Clerk,2014-09-21,E0210,,Active,,
E0119,Priya Fernandez,Finance,AR Clerk,2015-02-28,E0210,,Active,,
E0120,Kai Xin Anak Jelani,Finance,AR Clerk,2018-05-04,E0203,,Active,,
E0121,Deepa Lee,Finance,AR Clerk,2019-07-21,E0200,,Active,,
E0122,Hafiz Tan,Finance,AR Clerk,2022-03-20,E0210,,Active,,
E0123,Firdaus binti Ismail,Finance,Financial Accountant,2015-03-06,E0190,,Active,AR Clerk,2025-08-27
E0124,Rachel Nair,Finance,AR Clerk,2017-10-12,E0195,2026-04-02,Terminated,,
E0125,Chee Keong binti Ismail,Finance,AR Clerk,2021-01-25,E0196,,Active,,
E0126,Nurul bin Hassan,Finance,AR Clerk,2012-09-09,E0205,,Active,,
E0127,Syafiq Kumar,Finance,Treasury Officer,2018-06-29,E0210,2021-06-06,Terminated,,
E0128,Zahra bin Hassan,Finance,Treasury Officer,2015-06-30,E0193,2021-12-07,Terminated,,
E0129,Yee Han binti Yusof,Finance,Treasury Officer,2025-11-18,E0205,,Active,,
E0130,Aisyah Menon,Finance,Treasury Officer,2019-12-20,E0197,,Active,,
E0131,Adrian Nair,Finance,Treasury Officer,2019-03-16,E0200,2026-03-22,Terminated,,
E0132,Zahra binti Ismail,Finance,Treasury Officer,2020-08-04,E0190,,Active,,
E0133,Michelle Chong,Finance,Treasury Officer,2021-01-04,E0195,,Active,,
E0134,Zahra Tan,Finance,Treasury Officer,2023-05-18,E0206,,Active,,
E0135,Farah binti Omar,Finance,Treasury Officer,2015-03-04,E0196,,Active,,
E0136,Kavitha Menon,Finance,Treasury Officer,2017-07-13,E0201,,Active,,
E0137,Hafiz Raj,Finance,Treasury Officer,2021-08-04,E0205,,Active,,
E0138,Arun binti Yusof,Finance,Treasury Officer,2024-07-30,E0203,,Active,,
E0139,Kai Xin binti Ismail,Finance,Treasury Officer,2019-02-09,E0209,,Active,,
E0140,Aisyah bin Hassan,Finance,Treasury Officer,2017-04-23,E0199,,Active,,
E0141,Priya Wong,Finance,Treasury Officer,2019-01-15,E0192,,Active,,
E0142,Ganesh Wong,Finance,Treasury Officer,2016-03-16,E0198,,Active,,
E0143,Zahra Fernandez,Finance,Treasury Officer,2024-06-06,E0193,,Active,,
E0144,Yee Han bin Abdullah,Finance,Treasury Officer,2020-03-22,E0203,,Active,,
E0145,Jun Hao Kumar,Finance,Treasury Officer,2015-10-12,E0193,,Active,,
E0146,Jun Hao Tan,Finance,Treasury Officer,2022-07-23,E0192,,Active,,
E0147,Siew Mun Nair,Finance,Treasury Officer,2015-05-22,E0199,2023-03-07,Terminated,,
E0148,Nurul Pillai,Finance,Financial Accountant,2019-10-17,E0195,2025-03-15,Terminated,,
E0149,Michelle binti Omar,Finance,Financial Accountant,2018-05-08,E0205,,Active,,
E0150,Daniel Fernandez,Finance,Financial Accountant,2025-05-18,E0192,,Active,,
E0151,Rachel Ng,Finance,Financial Accountant,2015-07-17,E0196,,Active,,
E0152,Michelle Nair,Finance,Financial Accountant,2012-02-08,E0205,2021-08-16,Terminated,,
E0153,Ganesh Menon,Finance,Financial Accountant,2014-11-14,E0195,2022-12-14,Terminated,,
E0154,Zahra Lee,Finance,Financial Accountant,2021-10-14,E0197,,Active,,
E0155,Chee Keong binti Yusof,Finance,Financial Accountant,2012-12-30,E0198,,Active,,
E0156,Kavitha binti Yusof,Finance,Financial Accountant,2018-11-11,E0207,,Active,,
E0157,Hafiz Ng,Finance,Financial Accountant,2025-10-24,E0195,,Active,,
E0158,Nurul binti Yusof,Finance,Financial Accountant,2020-09-25,E0202,,Active,,
E0159,Mei Yee binti Ismail,Finance,Financial Accountant,2025-10-05,E0202,,Active,,
E0160,Syafiq binti Omar,Finance,Financial Accountant,2021-04-14,E0203,,Active,,
E0161,Hakim Menon,Finance,Financial Accountant,2020-03-31,E0210,,Active,,
E0162,Hakim Nair,Finance,Financial Accountant,2016-04-21,E0193,,Active,,
E0163,Michelle Ng,Finance,Financial Accountant,2014-08-18,E0192,,Active,,
E0164,Mei Yee Chong,Finance,Financial Accountant,2025-05-03,E0190,2026-02-13,Terminated,,
E0165,Priya bin Abdullah,Finance,Financial Accountant,2025-05-26,E0208,,Active,,
E0166,Syafiq Raj,Finance,Financial Accountant,2014-04-18,E0196,,Active,,
E0167,Rachel Ng,Finance,Financial Accountant,2017-12-25,E0190,,Active,,
E0168,Li Wen binti Omar,Finance,Financial Accountant,2022-05-22,E0201,,Active,,
E0169,Rachel Raj,Finance,Financial Accountant,2016-07-31,E0199,,Active,,
E0170,Suresh Pillai,Finance,Financial Accountant,2024-09-17,E0194,,Active,,
E0171,Adrian binti Ismail,Finance,Financial Accountant,2015-01-12,E0207,,Active,,
E0172,Zahra Lee,Finance,Financial Accountant,2015-07-28,E0208,,Active,,
E0173,Firdaus Nair,Finance,Financial Accountant,2024-08-07,E0202,,Active,,
E0174,Mei Yee Pillai,Finance,Financial Accountant,2017-11-29,E0201,,Active,,
E0175,Mei Yee bin Rahman,Finance,Financial Accountant,2022-11-10,E0195,,Active,,
E0176,Priya Raj,Finance,Financial Accountant,2025-08-30,E0193,,Active,,
E0177,Arun Wong,Finance,Financial Accountant,2012-09-18,E0197,,Active,,
E0178,Li Wen Lee,Finance,Financial Accountant,2014-01-21,E0194,2026-04-18,Terminated,,
E0179,Jun Hao bin Abdullah,Finance,Financial Accountant,2013-11-08,E0199,,Active,,
E0180,Ahmad bin Rahman,Finance,Financial Accountant,2019-04-04,E0208,,Active,,
E0181,Amirul Pillai,Finance,Financial Accountant,2020-11-28,E0198,,Active,,
E0182,Daniel binti Yusof,Finance,Financial Accountant,2019-01-17,E0198,,Active,,
E0183,Deepa Nair,Finance,Financial Accountant,2023-11-12,E0198,2026-05-15,Terminated,,
E0184,Michelle binti Omar,Finance,Financial Accountant,2019-02-13,E0205,,Active,,
E0185,Kavitha Menon,Finance,Financial Accountant,2016-09-06,E0205,,Active,,
E0186,Amirul Chong,Finance,Financial Accountant,2016-04-28,E0196,2025-08-07,Terminated,,
E0187,Michelle Fernandez,Finance,Treasury Officer,2012-12-31,E0198,,Active,Financial Accountant,2025-10-11
E0188,Rachel Wong,Finance,Financial Accountant,2018-08-15,E0196,,Active,,
E0189,Siew Mun Wong,Finance,Financial Accountant,2020-01-07,E0198,,Active,,
E0190,Farah Wong,Finance,Finance Manager,2015-08-30,E0196,,Active,,
E0191,Rachel Fernandez,Finance,Finance Manager,2013-02-04,E0204,,Active,,
E0192,Daniel Fernandez,Finance,Finance Manager,2025-01-01,E0205,,Active,,
E0193,Aisyah Pillai,Finance,Finance Manager,2024-04-21,E0192,,Active,,
E0194,Ganesh bin Rahman,Finance,Finance Manager,2023-05-07,E0200,,Active,,
E0195,Daniel binti Ismail,Finance,Finance Manager,2013-04-02,E0204,,Active,,
E0196,Kavitha Tan,Finance,Finance Manager,2013-01-31,E0001,,Active,,
E0197,Arun bin Abdullah,Finance,Finance Manager,2017-03-01,E0209,2020-08-31,Terminated,,
E0198,Priya binti Omar,Finance,Finance Manager,2023-06-26,E0200,,Active,,
E0199,Kavitha Nair,Finance,Finance Manager,2016-12-10,E0196,,Active,,
E0200,Nadia Wong,Finance,Finance Manager,2015-03-06,E0197,,Active,,
E0201,Ahmad Kumar,Finance,Finance Manager,2014-07-13,E0203,2025-12-16,Terminated,,
E0202,Priya Chong,Finance,Finance Manager,2020-04-14,E0192,2023-10-11,Terminated,,
E0203,Deepa Menon,Finance,Finance Manager,2024-11-10,E0193,2026-06-03,Terminated,,
E0204,Chee Keong Kumar,Finance,Executive,2013-12-19,E0196,,Active,,
E0205,Mei Yee Lim,Finance,Executive,2023-06-05,E0197,,Active,,
E0206,Ahmad bin Rahman,Finance,Finance Manager,2024-08-12,E0203,,Active,Executive,2025-10-24
E0207,Arun bin Abdullah,Finance,Executive,2023-12-06,E0205,2025-04-15,Terminated,,
E0208,Kai Xin Tan,Finance,Executive,2012-01-22,E0203,,Active,,
E0209,Mei Yee binti Ismail,Finance,Executive,2023-03-29,E0202,2023-08-31,Terminated,,
E0210,Farah Chong,Finance,Executive,2012-04-18,E0199,2023-05-10,Terminated,,
E0211,Aisyah Wong,Procurement,Procurement Officer,2024-05-23,E0280,,Active,,
E0212,Amirul Raj,Procurement,Procurement Officer,2025-06-04,E0269,,Active,,
E0213,Li Wen Nair,Procurement,Procurement Officer,2017-06-11,E0273,2025-08-16,Terminated,,
E0214,Yee Han Tan,Procurement,Procurement Officer,2014-12-04,E0279,2026-02-20,Terminated,,
E0215,Firdaus bin Rahman,Procurement,Procurement Officer,2025-11-06,E0268,,Active,,
E0216,Li Wen Kumar,Procurement,Procurement Officer,2022-04-02,E0278,2023-04-20,Terminated,,
E0217,Mei Yee Fernandez,Procurement,Procurement Officer,2013-11-23,E0275,,Active,,
E0218,Rachel bin Abdullah,Procurement,Procurement Officer,2024-11-11,E0275,,Active,,
E0219,Syafiq bin Rahman,Procurement,Procurement Officer,2015-11-11,E0269,,Active,,
E0220,Ahmad Ng,Procurement,Procurement Officer,2022-11-23,E0268,,Active,,
E0221,Yee Han bin Abdullah,Procurement,Procurement Officer,2018-02-09,E0278,,Active,,
E0222,Priya Ng,Procurement,Procurement Officer,2017-08-13,E0273,,Active,,
E0223,Siew Mun bin Hassan,Procurement,Procurement Officer,2019-06-16,E0280,2024-03-02,Terminated,,
E0224,Ganesh Raj,Procurement,Procurement Officer,2024-12-08,E0270,,Active,,
E0225,Siew Mun Wong,Procurement,Procurement Officer,2021-02-19,E0271,2026-05-16,Terminated,,
E0226,Daniel Nair,Procurement,Procurement Officer,2020-04-06,E0268,,Active,,
E0227,Wei Ling bin Abdullah,Procurement,Procurement Officer,2013-10-03,E0273,,Active,,
E0228,Jun Hao Anak Jelani,Procurement,Procurement Officer,2015-11-18,E0271,,Active,,
E0229,Yee Han Lim,Procurement,Procurement Officer,2017-06-23,E0272,,Active,,
E0230,Wei Ling Fernandez,Procurement,Procurement Officer,2019-12-16,E0274,,Active,,
E0231,Izzati binti Omar,Procurement,Procurement Officer,2016-11-09,E0273,,Active,,
E0232,Ahmad Raj,Procurement,Procurement Officer,2014-05-13,E0273,2024-02-16,Terminated,,
E0233,Mei Yee binti Yusof,Procurement,Procurement Officer,2021-10-08,E0277,2022-04-24,Terminated,,
E0234,Mei Yee Kumar,Procurement,Procurement Officer,2013-11-12,E0268,2026-05-16,Terminated,,
E0235,Kavitha Lee,Procurement,Vendor Master Admin,2019-12-12,E0274,,Active,Procurement Officer,2025-12-14
E0236,Suresh Ng,Procurement,Procurement Officer,2021-06-09,E0275,,Active,,
E0237,Kavitha Wong,Procurement,Procurement Officer,2013-12-18,E0267,,Active,,
E0238,Jun Hao Lim,Procurement,Procurement Officer,2014-07-17,E0270,2026-04-23,Terminated,,
E0239,Chee Keong Tan,Procurement,Procurement Officer,2023-02-17,E0277,,Active,,
E0240,Zahra binti Omar,Procurement,Procurement Officer,2015-05-31,E0272,,Active,,
E0241,Nadia Fernandez,Procurement,Procurement Officer,2014-05-20,E0278,,Active,,
E0242,Chee Keong binti Omar,Procurement,Procurement Officer,2016-11-12,E0267,,Active,,
E0243,Suresh binti Omar,Procurement,Procurement Officer,2023-08-02,E0274,,Active,,
E0244,Mei Yee Raj,Procurement,Procurement Officer,2024-11-27,E0268,,Active,,
E0245,Priya Tan,Procurement,Procurement Officer,2017-01-19,E0278,,Active,,
E0246,Arun bin Abdullah,Procurement,Procurement Officer,2018-01-10,E0267,,Active,,
E0247,Ahmad Nair,Procurement,Procurement Officer,2022-07-01,E0268,2024-05-16,Terminated,,
E0248,Deepa Tan,Procurement,Procurement Officer,2016-07-02,E0270,,Active,,
E0249,Mei Yee Wong,Procurement,Procurement Officer,2024-11-23,E0268,,Active,,
E0250,Kai Xin Chong,Procurement,Procurement Officer,2017-09-07,E0279,,Active,,
E0251,Daniel binti Yusof,Procurement,Procurement Officer,2016-04-28,E0277,,Active,,
E0252,Arun Chong,Procurement,Procurement Officer,2018-11-04,E0280,,Active,,
E0253,Syafiq Wong,Procurement,Procurement Officer,2020-11-23,E0272,,Active,,
E0254,Nadia Kumar,Procurement,Procurement Officer,2023-11-10,E0267,,Active,,
E0255,Nurul Fernandez,Procurement,Procurement Officer,2013-04-09,E0269,,Active,,
E0256,Adrian Ng,Procurement,Procurement Officer,2024-11-22,E0273,,Active,,
E0257,Zahra Chong,Procurement,Procurement Officer,2020-10-14,E0279,2026-05-20,Terminated,,
E0258,Izzati Ng,Procurement,Procurement Officer,2012-05-25,E0270,,Active,,
E0259,Nadia Pillai,Procurement,Procurement Officer,2020-06-23,E0277,,Active,,
E0260,Ahmad Nair,Procurement,Procurement Officer,2023-04-15,E0277,,Active,,
E0261,Kai Xin Tan,Procurement,Procurement Officer,2018-04-19,E0273,,Active,,
E0262,Jun Hao Chong,Procurement,Procurement Officer,2024-04-25,E0269,,Active,,
E0263,Kai Xin Wong,Procurement,Procurement Officer,2022-04-09,E0275,2025-12-30,Terminated,,
E0264,Kavitha Fernandez,Procurement,Procurement Officer,2012-06-26,E0275,2026-01-15,Terminated,,
E0265,Li Wen Menon,Procurement,Procurement Officer,2014-07-16,E0278,,Active,,
E0266,Rachel Tan,Procurement,Procurement Officer,2022-06-12,E0274,,Active,,
E0267,Siew Mun Lee,Procurement,Procurement Manager,2015-07-20,E0270,,Active,,
E0268,Farah binti Yusof,Procurement,Procurement Manager,2016-08-26,E0275,,Active,,
E0269,Jun Hao Kumar,Procurement,Procurement Manager,2022-03-27,E0278,,Active,,
E0270,Ganesh Menon,Procurement,Procurement Manager,2013-07-21,E0267,,Active,,
E0271,Hafiz Pillai,Procurement,Procurement Manager,2023-09-29,E0267,,Active,,
E0272,Yee Han Chong,Procurement,Vendor Master Admin,2025-07-09,E0280,,Active,Procurement Manager,2025-07-06
E0273,Daniel bin Abdullah,Procurement,Procurement Manager,2016-10-23,E0278,,Active,,
E0274,Rachel bin Hassan,Procurement,Procurement Manager,2014-05-18,E0276,,Active,,
E0275,Amirul binti Ismail,Procurement,Procurement Manager,2026-02-12,E0268,,Active,,
E0276,Suresh binti Yusof,Procurement,Procurement Manager,2015-08-06,E0001,,Active,,
E0277,Priya Wong,Procurement,Procurement Manager,2019-12-26,E0275,2023-10-06,Terminated,,
E0278,Hafiz Chong,Procurement,Vendor Master Admin,2020-07-30,E0276,,Active,Procurement Manager,2025-09-18
E0279,Adrian binti Omar,Procurement,Procurement Manager,2014-09-12,E0268,,Active,,
E0280,Rachel Raj,Procurement,Procurement Manager,2024-01-25,E0270,,Active,,
E0281,Yee Han Tan,Procurement,Vendor Master Admin,2020-10-28,E0268,,Active,,
E0282,Deepa Raj,Procurement,Vendor Master Admin,2016-08-08,E0269,,Active,,
E0283,Zahra Ng,Procurement,Vendor Master Admin,2019-09-16,E0275,2020-10-26,Terminated,,
E0284,Aisyah Lee,Procurement,Vendor Master Admin,2015-04-09,E0272,,Active,,
E0285,Arun Anak Jelani,Procurement,Vendor Master Admin,2016-11-10,E0277,,Active,,
E0286,Rachel Fernandez,Procurement,Vendor Master Admin,2018-01-26,E0279,,Active,,
E0287,Ganesh Wong,Procurement,Vendor Master Admin,2022-03-22,E0277,,Active,,
E0288,Ganesh bin Abdullah,Procurement,Vendor Master Admin,2026-01-23,E0280,2026-03-27,Terminated,,
E0289,Siew Mun bin Rahman,Procurement,Vendor Master Admin,2016-07-18,E0277,,Active,,
E0290,Wei Ling Ng,Procurement,Vendor Master Admin,2016-03-07,E0272,,Active,,
E0291,Syafiq bin Abdullah,Procurement,Vendor Master Admin,2025-08-05,E0269,,Active,,
E0292,Amirul Fernandez,Procurement,Vendor Master Admin,2013-04-22,E0268,,Active,,
E0293,Jun Hao Nair,Procurement,Vendor Master Admin,2025-12-02,E0275,,Active,,
E0294,Amirul Pillai,Procurement,Vendor Master Admin,2012-12-23,E0277,,Active,,
E0295,Suresh bin Hassan,Human Resources,HR Officer,2024-12-17,E0341,2025-07-02,Terminated,,
E0296,Zahra bin Hassan,Human Resources,HR Officer,2019-04-03,E0375,2020-11-18,Terminated,,
E0297,Suresh bin Hassan,Human Resources,HR Officer,2014-04-22,E0372,,Active,,
E0298,Siew Mun binti Omar,Human Resources,HR Officer,2016-09-22,E0375,,Active,,
E0299,Hafiz binti Omar,Human Resources,HR Officer,2025-02-20,E0376,2026-04-05,Terminated,,
E0300,Daniel Tan,Human Resources,HR Officer,2012-03-07,E0344,,Active,,
E0301,Ahmad Wong,Human Resources,HR Officer,2019-05-09,E0343,,Active,,
E0302,Aisyah Wong,Human Resources,HR Officer,2012-10-31,E0377,,Active,,
E0303,Chee Keong binti Omar,Human Resources,HR Officer,2020-04-19,E0340,2022-03-11,Terminated,,
E0304,Syafiq Fernandez,Human Resources,HR Officer,2018-04-28,E0341,,Active,,
E0305,Priya Anak Jelani,Human Resources,HR Officer,2017-07-14,E0348,,Active,,
E0306,Deepa Ng,Human Resources,HR Officer,2014-02-22,E0341,2022-02-23,Terminated,,
E0307,Yee Han binti Omar,Human Resources,HR Officer,2012-06-21,E0350,,Active,,
E0308,Priya Anak Jelani,Human Resources,HR Officer,2016-11-01,E0342,,Active,,
E0309,Arun Ng,Human Resources,HR Officer,2020-02-04,E0338,,Active,,
E0310,Farah Wong,Human Resources,HR Officer,2017-11-22,E0345,,Active,,
